Tanggal,AALI,ACES,ADHI,ADRO,AKRA,AMRT,ANTM,ASII,ASRI,BBCA,BBKP,BBNI,BBRI,BBTN,BDMN,BFIN,BHIT,BISI,BKSL,BMRI,BMTR,BNBR,BRPT,BSDE,BUMI,BWPT,CPIN,CTRA,DEWA,DOID,ELSA,ELTY,EMTK,ENRG,EXCL,GGRM,GJTL,HEXA,HMSP,ICBP,IMAS,INCO,INDF,INDY,INKP,INTA,INTP,ISAT,ITMG,JPFA,JSMR,KIJA,KLBF,LPKR,LPPF,LSIP,MAIN,MAPI,MEDC,MIRA,MLPL,MNCN,MPPA,PGAS,PTBA,PWON,SCMA,SGRO,SMCB,SMGR,SMRA,SSIA,TINS,TKIM,TLKM,TPIA,TRAM,UNSP,UNTR,UNVR
2010-01-01,13786.080078125,101.454010009766,244.555999755859,379.139526367188,99.7394104003906,72.3794479370117,1296.53674316406,1840.73266601562,100.410293579102,728.069580078125,181.536499023438,530.491943359375,386.066497802734,635.379699707031,2930.21069335938,38.693904876709,57.0605316162109,867.629943847656,432.978057861328,652.167541503906,226.850311279297,3800,118.941070556641,737.733032226562,2370.2919921875,445.612030029297,328.370330810547,277.337341308594,121,1660.01574707031,189.553131103516,2581.94458007812,46.2948417663574,1392,2029.50952148438,14810.0380859375,393.192413330078,541.589538574219,236.19987487793,1325.67553710938,379.98828125,2710.96020507812,2137.40502929688,1364.66149902344,1873.07604980469,106.39453125,7861.66455078125,993.055480957031,5318.892578125,162.507415771484,1411.25122070312,113.67652130127,232.721313476562,371.168090820312,1493.40356445312,1017.11395263672,86.7145919799805,67.0575942993164,384.577453613281,300,225.205230712891,187.449340820312,534.103210449219,1786.48071289062,824.442443847656,113.198829650879,14.5092544555664,1674.98645019531,1240.29797363281,5284.552734375,288.404846191406,61.5903778076172,1010.24188232422,1304.90283203125,932.45947265625,94.9510879516602,504.372253417969,5504.94384765625,6678.5166015625,1412.0302734375
2010-02-01,13988.38671875,95.156867980957,235.498321533203,367.103424072266,86.2154312133789,85.1522521972656,1266.03002929688,1856.09350585938,125.282562255859,709.867736816406,186.251754760742,524.994506835938,360.833404541016,635.379699707031,3005.73168945312,39.1686859130859,147.406372070312,777.486511230469,432.978057861328,624.267395019531,272.220397949219,3800,117.00707244873,535.734680175781,2154.81103515625,509.270904541016,298.518463134766,281.415893554688,108,1455.99145507812,186.636871337891,2184.72216796875,39.9093475341797,1280,2314.02075195312,16075.0654296875,487.216644287109,552.718200683594,232.700607299805,1399.32409667969,379.98828125,2862.62255859375,2256.67944335938,1252.11206054688,1765.42761230469,97.1428298950195,7978.1337890625,904.389831542969,5352.77099609375,156.159484863281,1395.57055664062,98.3922729492188,235.74365234375,350.158508300781,1306.72778320312,1076.94445800781,85.7720489501953,63.3832054138184,396.595550537109,250,137.746887207031,203.749267578125,434.230163574219,1715.49487304688,747.75,117.315132141113,17.0108470916748,1615.69482421875,1346.82666015625,5020.32470703125,296.644958496094,61.5903778076172,976.188781738281,1277.28601074219,827.744689941406,116.530860900879,475.822875976562,4840.55419921875,6797.4208984375,1437.02185058594
2010-03-01,14219.6015625,114.747985839844,265.690399169922,393.181823730469,78.6081771850586,75.7855072021484,1464.32373046875,2145.3876953125,151.076034545898,800.876647949219,195.682189941406,625.320739746094,416.346252441406,797.221801757812,3141.6689453125,40.5929985046387,190.201766967773,833.826293945312,432.978057861328,746.330993652344,358.423522949219,3800,126.677070617676,535.734680175781,2154.81103515625,588.844421386719,417.925842285156,350.750152587891,105,992.299926757812,274.122955322266,2383.33349609375,45.496654510498,1176,2655.43286132812,15272.853515625,683.812866210938,589.813232421875,246.857284545898,1390.11828613281,379.98828125,3805.37182617188,2241.7705078125,1308.38684082031,1916.13500976562,101.768684387207,8298.4228515625,975.322509765625,6445.34716796875,170.124984741211,1403.41088867188,102.213333129883,282.590148925781,420.190246582031,1356.50805664062,1172.6728515625,108.393241882324,64.3018188476562,416.625671386719,240,150.865631103516,264.874053955078,538.445373535156,2011.26989746094,834.028930664062,125.547790527344,18.0114879608154,1556.40319824219,1578.90673828125,4822.15380859375,341.965728759766,76.7355575561523,1078.34765625,1311.80700683594,802.812866210938,107.898948669434,471.064666748047,4698.18505859375,7273.04296875,1518.24475097656
2010-04-01,12832.326171875,119.645736694336,356.266723632812,441.326354980469,87.060661315918,93.6674957275391,1494.83093261719,2414.201171875,198.057022094727,793.595703125,287.629272460938,714.652160644531,451.672607421875,929.093017578125,3504.169921875,56.9726181030273,192.579299926758,1019.74670410156,432.978057861328,809.1064453125,372.034515380859,3800,121.842071533203,737.733032226562,2274.52294921875,580.887145996094,447.777801513672,362.985687255859,105,973.752197265625,303.284973144531,2333.6806640625,51.8821449279785,1184,2826.1396484375,17031.54296875,888.956726074219,708.517822265625,247.742080688477,1436.14855957031,335.803558349609,4026.84790039062,2315.72094726562,1730.44702148438,2002.25341796875,112.56233215332,9201.0595703125,1046.25512695312,6835.03466796875,201.86474609375,1626.85888671875,121.318634033203,313.569366455078,406.183898925781,1269.39294433594,1160.70666503906,91.4273452758789,63.3832054138184,472.709838867188,325,108.841789245605,342.298797607422,532.328552246094,1940.28356933594,891.548156738281,125.547790527344,23.0146789550781,1600.87182617188,1788.15942382812,5416.666015625,403.766784667969,82.7936325073242,1225.91125488281,1380.84973144531,782.867065429688,103.5830078125,456.789978027344,4745.64111328125,7728.8466796875,1730.67370605469
2010-05-01,11473.9501953125,121.692283630371,295.882476806641,401.205871582031,84.2540512084961,85.1522521972656,1937.17834472656,2209.39111328125,156.603225708008,808.1572265625,282.739105224609,687.165588378906,434.009460449219,815.2041015625,3171.35205078125,49.2862854003906,166.426544189453,721.14697265625,432.978057861328,746.330993652344,331.201477050781,3800,100.568061828613,605.994995117188,1939.32983398438,533.142883300781,410.462921142578,301.808380126953,82,741.906555175781,259.541961669922,1400.20837402344,50.2857666015625,1040,2636.4658203125,20795.763671875,735.098754882812,608.361022949219,259.244445800781,1344.08752441406,344.640472412109,3181.20971679688,2167.2236328125,1603.82897949219,1593.19067382812,100.22673034668,8735.1826171875,913.256652832031,6301.1845703125,171.394607543945,1544.53601074219,90.7501525878906,284.101348876953,297.634765625,1319.17309570312,993.182006835938,91.4273452758789,59.7088279724121,456.685791015625,265,85.8345794677734,317.848876953125,527.306518554688,1845.63562011719,860.177124023438,137.896759033203,22.5143604278564,1334.06005859375,1597.92993164062,5581.8076171875,320.665832519531,78.7549285888672,1010.24188232422,1208.24340820312,772.894287109375,93.6654510498047,452.031768798828,3654.14404296875,7273.04296875,1949.3515625
2010-06-01,11438.2080078125,126.616256713867,374.381927490234,402.747344970703,92.0714492797852,90.5744247436523,1952.79016113281,2518.0791015625,168.57878112793,877.470092773438,332.342498779297,658.972351074219,475.953063964844,1030.35705566406,3325.30078125,52.9827499389648,123.631156921387,754.950805664062,432.978057861328,852.668701171875,299.442413330078,3800,99.6010589599609,632.342651367188,1800.46435546875,557.014953613281,555.395446777344,273.258911132812,77,918.109252929688,230.379898071289,1440,48.9547119140625,1024,3091.68310546875,21104.3046875,842.010986328125,727.0654296875,330.027923583984,1528.20910644531,441.846740722656,3020.13623046875,2405.17700195312,1643.31384277344,1593.19067382812,144.639236450195,9327.486328125,877.790283203125,6502.47021484375,191.708023071289,1654.529296875,88.8396224975586,317.347229003906,350.158508300781,1319.17309570312,1017.91979980469,91.4273452758789,60.6274261474609,472.710388183594,315,88.6056289672852,293.398986816406,565.981384277344,1833.80505371094,850.318420410156,164.652847290039,25.6906604766846,1375.80041503906,1654.99865722656,5779.97998046875,353.981689453125,78.7549285888672,976.188781738281,1380.84973144531,767.907836914062,91.4615707397461,432.998840332031,3511.77465820312,7564.35888671875,2160.07495117188
2010-07-01,11526.8740234375,129.429946899414,411.24169921875,404.771209716797,103.363235473633,94.8874588012695,1952.79016113281,2643.20190429688,189.851852416992,877.470092773438,327.382141113281,848.251586914062,506.65966796875,1181.88037109375,3294.51123046875,49.9023590087891,105.561981201172,828.192260742188,432.978057861328,852.668701171875,281.294403076172,3800,102.502059936523,717.625671386719,1674.3359375,588.844421386719,813.537109375,309.965270996094,64,927.383117675781,201.134567260742,1330,55.4820098876953,816,3603.80200195312,22009.06640625,1067.70458984375,860.608276367188,337.990966796875,1703.12475585938,486.031616210938,3322.1494140625,2806.21557617188,1902.78466796875,1515.68408203125,167.138656616211,9976.8671875,884.194763183594,6563.734375,321.665405273438,2185.61254882812,89.7948989868164,374.352264404297,339.653778076172,1319.17309570312,1085.37243652344,91.4273452758789,56.482349395752,480.722442626953,310,85.8932113647461,244.499084472656,547.723999023438,1986.93200683594,823.206848144531,142.013076782227,39.9632530212402,1466.51306152344,1807.1826171875,6279.3671875,387.297607421875,88.8516998291016,1140.28344726562,1353.23291015625,871.543884277344,87.714958190918,499.714752197266,2894.84130859375,8129.16748046875,2153.72143554688
2010-08-01,11615.54296875,125.20938873291,417.568481445312,384.53271484375,106.837631225586,81.0856704711914,1952.79016113281,2481.5859375,164.846984863281,855.348815917969,342.263122558594,974.437805175781,475.953063964844,1097.02746582031,3294.51123046875,57.2953147888184,97.0029067993164,957.773315429688,432.978057861328,838.457580566406,285.831390380859,3800,103.469062805176,726.485168457031,1615.92883300781,652.503234863281,1009.09881591797,273.258911132812,62,741.906555175781,171.555953979492,1120,56.2979278564453,720,3793.47583007812,24775.91015625,1493.05041503906,791.325134277344,350.378204345703,1675.50659179688,1690.06384277344,3442.95434570312,2760.51147460938,1845.12451171875,1743.89794921875,229.815658569336,10419.6279296875,802.156127929688,6861.28955078125,315.295776367188,2389.87524414062,111.765991210938,355.252593994141,350.158508300781,1269.39294433594,1146.69299316406,91.4273452758789,111.081932067871,492.740386962891,275,85.8932113647461,228.199203491211,559.895568847656,1962.40222167969,862.641723632812,170.82731628418,47.9558982849121,1632.81799316406,1750.11352539062,5905.99951171875,383.133117675781,89.8614044189453,1094.21154785156,2105.79565429688,892.171997070312,104.684928894043,518.9345703125,2643.03247070312,7423.15966796875,2045.71813964844
2010-09-01,12236.21875,142.443283081055,607.372375488281,409.830871582031,131.158401489258,146.644287109375,1952.79016113281,2956.00537109375,189.851852416992,988.075256347656,362.1044921875,1030.52062988281,511.777465820312,1103.08837890625,3571.61987304688,89.331413269043,110.317031860352,1267.64099121094,432.978057861328,1023.20257568359,349.349456787109,3800,121.842071533203,850.519409179688,2068.58374023438,692.290100097656,1361.1103515625,309.965270996094,75,955.20458984375,201.134567260742,1540,79.1434478759766,912,4096.95458984375,32447.6484375,1718.744140625,806.54296875,400.745666503906,2006.92529296875,4153.3603515625,3926.17626953125,3306.51953125,1917.19946289062,2002.25341796875,337.491485595703,10862.38671875,1002.69500732422,7423.927734375,515.938537597656,2614.564453125,123.229164123535,389.631896972656,392.177551269531,1269.39294433594,1208.01318359375,97.0290298461914,211.808776855469,532.800476074219,255,115.729804992676,342.298797607422,578.153076171875,1888.81201171875,958.764831542969,205.816070556641,81.0683059692383,1632.81799316406,1845.22839355469,6720.619140625,458.093994140625,99.9581756591797,1451.27014160156,2882.52368164062,948.899841308594,144.35498046875,557.374145507812,3267.74926757812,8250.1982421875,2141.01611328125
2010-10-01,14827.2880859375,189.924392700195,632.679504394531,425.009857177734,131.158401489258,160.446090698242,1952.79016113281,2996.44067382812,245.418273925781,1032.31774902344,347.223480224609,1093.61376953125,583.42626953125,1206.12390136719,4125.83642578125,89.9474792480469,121.729133605957,1323.98071289062,432.978057861328,994.780151367188,449.163635253906,3800,122.80908203125,744.204406738281,2165.9287109375,827.565185546875,1337.64282226562,342.593231201172,77,992.299926757812,198.176742553711,1580,74.2480010986328,944,4362.498046875,29995.20703125,2018.22216796875,989.156433105469,390.727020263672,2098.986328125,3070.83520507812,3965.00854492188,3168.79907226562,2104.59497070312,1786.95715332031,393.740112304688,10803.353515625,1093.84912109375,8066.3857421875,401.285583496094,3063.94311523438,128.005493164062,408.731506347656,434.196594238281,1269.39294433594,1434.89892578125,97.0290298461914,240.04997253418,652.981140136719,240,203.431289672852,497.148223876953,858.100769042969,1986.93200683594,968.623474121094,193.467071533203,75.3592681884766,1814.24255371094,1769.13671875,6652.73583984375,470.587493896484,113.083992004395,1313.05407714844,2612.765625,938.585815429688,149.864730834961,576.593933105469,3700.24536132812,9023.9892578125,2217.25317382812
